WPC
===

Pin R?	Function
1	?	Flipper Opto Emitter
2	N	NC
3	?	Flipper Opto Collecor Right
4	N	connected to 6
5	?	Flipper Opto Collector Left
6	N	connected to 4
7	Y	CS Lamp row
8	Y	CS Lamp col
9	Y	CS Solenoids 2
10	Y	CS Solenoids 4
11	Y	CS Solenoids 3
12	Y	CS Solenoids 1
13	Y	CS Triacs
14	N 	GND
15	Y	D7
16	N	GND
17	Y	D6
18	N	GND
19	Y	D5
20	N	GND
21	Y	D4
22	N	GND
23	Y	D3
24	N 	GND
25	Y	D2
26	N	GND
27	Y	D1
28	N	GND
29	Y	D0
30	N 	GND
31	Y	Blanking
32	?	SW J2 (functionality unknown)
33	?	SW J1 (functionality unknown)
34	Y	Zero crossing (generated by the power driver board!)

WPC95/WPC-S
===========

Pin R?	Function
1	N	DIS STROBI (unused?)
2	N	NC
3	?	DIS 2 (unused?)
4	N	connected to 6
5	?	DIS 1 (unused?)
6	N	connected to 4
7	Y	CS Lamp row
8	Y	CS Lamp col
9	Y	CS Solenoids 2
10	Y	CS Solenoids 4
11	Y	CS Solenoids 3
12	Y	CS Solenoids 1
13	Y	CS Triacs
14	N 	GND
15	Y	D7
16	N	GND
17	Y	D6
18	N	GND
19	Y	D5
20	N	GND
21	Y	D4
22	N	GND
23	Y	D3
24	N 	GND
25	Y	D2
26	N	GND
27	Y	D1
28	N	GND
29	Y	D0
30	N 	GND
31	Y	Blanking
32	?	CS Flipper power
33	?	NC
34	Y	Zero crossing (generated by the power driver board!)
